gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\NV\NV_explicit_multisample.txt                         : Dependencies on NV_gpu_program4 and EXT_gpu_shader4
gl ext spec\NV\NV_fragment_shader_interlock.txt                    : Dependencies on NV_gpu_program4 and NV_fragment_program4
gl ext spec\NV\NV_geometry_shader_passthrough.txt                  : Dependencies on NV_gpu_program4 and NV_geometry_program4
gl ext spec\ARB\ARB_sparse_texture2.txt                            : Dependencies on NV_gpu_program4 and NV_gpu_program5
gl ext spec\EXT\EXT_texture_array.txt                              : Dependencies on NV_gpu_program4 and the OpenGL Shading Language (GLSL)
gl ext spec\NV\NV_geometry_shader_passthrough.txt                  : Dependencies on NV_gpu_program4, NV_gpu_program5, NV_transform_feedback, EXT_transform_feedback, and OpenGL 3.0:
gl ext spec\NV\NV_gpu_program5.txt                                 : Dependencies on NV_gpu_program4, NV_vertex_program4, NV_geometry_program4, and NV_fragment_program4
gl ext spec\NV\NV_shader_buffer_load.txt                           : Dependencies on NV_gpu_program4:
gl ext spec\EXT\EXT_shader_image_load_store.txt                    : Dependencies on NV_gpu_program5
gl ext spec\ARB\ARB_transform_feedback3.txt                        : Dependencies on NV_gpu_program5 and ARB_gpu_shader5
gl ext spec\ARB\ARB_shader_image_size.txt                          : Dependencies on NV_gpu_program5 and EXT_shader_image_load_store
gl ext spec\NV\NV_vertex_attrib_integer_64bit.txt                  : Dependencies on NV_gpu_program5 and NV_gpu_shader5
gl ext spec\ARB\ARB_shader_texture_image_samples.txt               : Dependencies on NV_gpu_program5, EXT_shader_image_load_store and NV_texture_multisample
gl ext spec\NV\NV_shader_atomic_int64.txt                          : Dependencies on NV_gpu_program5, NV_compute_program5, and NV_shader_storage_buffer_object
gl ext spec\NV\NV_shader_atomic_fp16_vector.txt                    : Dependencies on NV_gpu_program5, NV_shader_buffer_store, and NV_gpu_program5_mem_extended
gl ext spec\ARB\ARB_shader_subroutine.txt                          : Dependencies on NV_gpu_program5:
gl ext spec\AMD\AMD_gpu_shader_int64.txt                           : Dependencies on NV_gpu_shader5
gl ext spec\NV\NV_float_buffer.txt                                 : Dependencies on NV_half_float
gl ext spec\NV\NV_shader_atomic_fp16_vector.txt                    : Dependencies on NV_image_formats
gl ext spec\NV\NV_fragment_coverage_to_color.txt                   : Dependencies on NV_multisample_coverage
gl ext spec\EXT\EXT_separate_shader_objects.gles.txt               : Dependencies on NV_non_square_matrices
gl ext spec\NV\NV_conditional_render.txt                           : Dependencies on NV_occlusion_query_samples
gl ext spec\NV\NV_packed_float.txt                                 : Dependencies on NV_packed_float_linear
gl ext spec\ARB\ARB_shader_image_load_store.txt                    : Dependencies on NV_parameter_buffer_object
gl ext spec\NV\NV_gpu_program5.txt                                 : Dependencies on NV_parameter_buffer_object2
gl ext spec\KHR\KHR_blend_equation_advanced.txt                    : Dependencies on NV_path_rendering
gl ext spec\ARB\ARB_pixel_buffer_object.txt                        : Dependencies on NV_pixel_data_range
gl ext spec\ARB\ARB_geometry_shader4.txt                           : Dependencies on NV_primitive_restart
gl ext spec\NV\NV_framebuffer_blit.txt                             : Dependencies on NV_read_buffer:
gl ext spec\NV\NV_read_buffer.txt                                  : Dependencies on NV_read_buffer_front:
gl ext spec\NV\NV_read_depth_stencil.txt                           : Dependencies on NV_read_depth:
gl ext spec\NV\NV_read_depth_stencil.txt                           : Dependencies on NV_read_depth_stencil:
gl ext spec\NV\NV_read_depth_stencil.txt                           : Dependencies on NV_read_stencil:
gl ext spec\NV\WGL_NV_render_depth_texture.txt                     : Dependencies on NV_render_texture_rectangle
gl ext spec\NV\NV_shading_rate_image.txt                           : Dependencies on NV_sample_mask_override_coverage
gl ext spec\NV\NV_shading_rate_image.txt                           : Dependencies on NV_scissor_exclusive
gl ext spec\NV\NV_compute_program5.txt                             : Dependencies on NV_shader_atomic_float
gl ext spec\AMD\AMD_gpu_shader_int64.txt                           : Dependencies on NV_shader_buffer_load
gl ext spec\NV\NV_fragment_shader_interlock.txt                    : Dependencies on NV_shader_buffer_load and NV_shader_buffer_store
gl ext spec\NV\NV_uniform_buffer_unified_memory.txt                : Dependencies on NV_shader_buffer_load:
gl ext spec\NV\NV_gpu_program5.txt                                 : Dependencies on NV_shader_buffer_store
gl ext spec\NV\NV_shader_atomic_float.txt                          : Dependencies on NV_shader_buffer_store and NV_gpu_shader5
gl ext spec\NV\NV_shader_atomic_float64.txt                        : Dependencies on NV_shader_buffer_store, NV_gpu_shader5, ARB_shader_storage_buffer_object, and ARB_compute_shader
gl ext spec\NV\NV_shader_atomic_fp16_vector.txt                    : Dependencies on NV_shader_storage_buffer_object
gl ext spec\NV\NV_gpu_program5.txt                                 : Dependencies on NV_tessellation_program5
gl ext spec\NV\NV_packed_float.txt                                 : Dependencies on NV_texture_array
gl ext spec\NV\NV_sRGB_formats.txt                                 : Dependencies on NV_texture_compression_s3tc
gl ext spec\NV\NV_sRGB_formats.txt                                 : Dependencies on NV_texture_compression_s3tc_update
gl ext spec\EXT\EXT_texture_sRGB.txt                               : Dependencies on NV_texture_compression_vtc
gl ext spec\NV\NV_texture_shader.txt                               : Dependencies on NV_texture_env_combine4
gl ext spec\EXT\EXT_texture_mirror_clamp.txt                       : Dependencies on NV_texture_rectangle
gl ext spec\ARB\ARB_texture_buffer_object.txt                      : Dependencies on NV_texture_shader
gl ext spec\NV\NV_geometry_shader_passthrough.txt                  : Dependencies on NV_transform_feedback
gl ext spec\ARB\ARB_transform_feedback3.txt                        : Dependencies on NV_transform_feedback and NV_transform_feedback2
gl ext spec\ARB\ARB_transform_feedback2.txt                        : Dependencies on NV_transform_feedback2
gl ext spec\AMD\AMD_gpu_shader_int64.txt                           : Dependencies on NV_vertex_attrib_integer_64bit
gl ext spec\ARB\ARB_compute_shader.txt                             : Dependencies on NV_vertex_buffer_unified_memory
gl ext spec\ARB\ARB_draw_indirect.txt                              : Dependencies on NV_vertex_buffer_unified_memory and ARB_compatibility
gl ext spec\NV\NV_uniform_buffer_unified_memory.txt                : Dependencies on NV_vertex_buffer_unified_memory:
gl ext spec\ARB\ARB_vertex_array_bgra.txt                          : Dependencies on NV_vertex_program
gl ext spec\NV\NV_vertex_program3.txt                              : Dependencies on NV_vertex_program2_option
gl ext spec\ARB\ARB_draw_instanced.txt                             : Dependencies on NV_vertex_program4
gl ext spec\NV\NV_transform_feedback.txt                           : Dependencies on NV_vertex_program4 and NV_gpu_program4
gl ext spec\NV\NV_conditional_render.txt                           : Dependencies on NVX_conditional_render
gl ext spec\NV\NV_geometry_shader_passthrough.txt                  : Dependencies on NVX_shader_thread_group
gl ext spec\NV\NV_gpu_shader5.txt                                  : Dependencies on OES/EXT_geometry_shader
gl ext spec\NV\NV_gpu_shader5.txt                                  : Dependencies on OES/EXT_tessellation_shader and OpenGL ES 3.2
gl ext spec\NV\NV_sRGB_formats.txt                                 : Dependencies on OES_compressed_ETC1_RGB8_texture
gl ext spec\ARB\ARB_texture_storage.txt                            : Dependencies on OES_compressed_paletted_texture
gl ext spec\OES\OES_required_internalformat.txt                    : Dependencies on OES_depth_texture
gl ext spec\OES\OES_framebuffer_object.txt                         : Dependencies on OES_depth24
gl ext spec\OES\OES_required_internalformat.txt                    : Dependencies on OES_depth24 and OES_depth32
gl ext spec\OES\OES_framebuffer_object.txt                         : Dependencies on OES_depth32
gl ext spec\EXT\EXT_YUV_target.txt                                 : Dependencies on OES_EGL_image_external
gl ext spec\NV\NV_EGL_stream_consumer_external.txt                 : Dependencies on OES_EGL_image_external.
gl ext spec\ANGLE\ANGLE_instanced_arrays.txt                       : Dependencies on OES_element_index_uint
gl ext spec\OES\OES_draw_texture.txt                               : Dependencies on OES_fixed_point
gl ext spec\OES\OES_EGL_image.txt                                  : Dependencies on OES_framebuffer_object
gl ext spec\EXT\EXT_clip_cull_distance.txt                         : Dependencies on OES_geometry_shader and EXT_geometry_shader
gl ext spec\NV\NV_gpu_shader5.txt                                  : Dependencies on OES_gpu_shader5
gl ext spec\NV\NV_copy_buffer.txt                                  : Dependencies on OES_mapbuffer
gl ext spec\OES\OES_vertex_array_object.txt                        : Dependencies on OES_matrix_palette
gl ext spec\EXT\EXT_shadow_samplers.txt                            : Dependencies on OES_packed_depth_stencil
gl ext spec\OES\OES_framebuffer_object.txt                         : Dependencies on OES_rgb8_rgba8
gl ext spec\EXT\EXT_raster_multisample.txt                         : Dependencies on OES_sample_shading
gl ext spec\EXT\EXT_geometry_shader.txt                            : Dependencies on OES_sample_variables
gl ext spec\EXT\EXT_texture_buffer.txt                             : Dependencies on OES_shader_image_atomic
gl ext spec\OES\OES_geometry_shader.txt                            : Dependencies on OES_shader_io_blocks
gl ext spec\EXT\EXT_geometry_shader.txt                            : Dependencies on OES_shader_multisample_interpolation
gl ext spec\OES\OES_framebuffer_object.txt                         : Dependencies on OES_stencil1
gl ext spec\OES\OES_required_internalformat.txt                    : Dependencies on OES_stencil1, OES_stencil4, and OES_stencil8
gl ext spec\OES\OES_framebuffer_object.txt                         : Dependencies on OES_stencil4
gl ext spec\OES\OES_framebuffer_object.txt                         : Dependencies on OES_stencil8
gl ext spec\EXT\EXT_clip_cull_distance.txt                         : Dependencies on OES_tessellation_point_size and EXT_tessellation_point_size
gl ext spec\EXT\EXT_clip_cull_distance.txt                         : Dependencies on OES_tessellation_shader and EXT_tessellation_shader
gl ext spec\ANGLE\ANGLE_framebuffer_blit.txt                       : Dependencies on OES_texture_3D
gl ext spec\NV\NV_framebuffer_multisample.txt                      : Dependencies on OES_texture_3D and NV_texture_array
gl ext spec\EXT\EXT_texture_mirror_clamp_to_edge.txt               : Dependencies on OES_texture_3D or equivalent
gl ext spec\EXT\EXT_sparse_texture.txt                             : Dependencies on OES_texture_border_clamp
gl ext spec\OES\OES_texture_cube_map_array.txt                     : Dependencies on OES_texture_border_clamp or EXT_texture_border_clamp
gl ext spec\OES\OES_geometry_shader.txt                            : Dependencies on OES_texture_buffer and EXT_texture_buffer
gl ext spec\OES\OES_texture_view.txt                               : Dependencies on OES_texture_buffer or EXT_texture_buffer
gl ext spec\EXT\EXT_copy_image.txt                                 : Dependencies on OES_texture_compression_astc
gl ext spec\EXT\EXT_sparse_texture.txt                             : Dependencies on OES_texture_cube_map_array and EXT_texture_cube_map_array
gl ext spec\OES\OES_texture_view.txt                               : Dependencies on OES_texture_cube_map_array or EXT_texture_cube_map_array
gl ext spec\EXT\EXT_texture_shadow_lod.txt                         : Dependencies on OES_texture_cube_map_array, EXT_texture_cube_map_array and OpenGL ES 3.2
gl ext spec\EXT\EXT_texture_rg.txt                                 : Dependencies on OES_texture_float
gl ext spec\APPLE\APPLE_texture_packed_float.txt                   : Dependencies on OES_texture_half_float
gl ext spec\ARB\ARB_texture_storage.txt                            : Dependencies on OES_texture_npot
gl ext spec\EXT\EXT_geometry_shader.txt                            : Dependencies on OES_texture_storage_multisample_2d_array
gl ext spec\EXT\EXT_sparse_texture2.txt                            : Dependencies on OES_texture_storage_multisample_2D_array
